['643099', '', 'R. Jo\xc3\xa3o Pessoa, 391-411', '', '-23.936269064278704', '-46.3198937357844', '', '', '0', '']
['564232', '', 'Av. Sen. Feij\xc3\xb3, 103', '', '-23.935160381119164', '-46.32538426645225', '', '', '0', '']
['558410', '', 'Av. Sen. Feij\xc3\xb3, 131-141', '', '-23.937076349098636', '-46.32568544588358', '', '', '0', '']
['637194', '', 'Av. Sen. Feij\xc3\xb3, 191-211', '', '-23.939369964616482', '-46.32592727133725', '', '', '0', '']
['564233', '', 'Av. Sen. Feij\xc3\xb3, 313-377', '', '-23.943049421531583', '-46.326382392536374', '', '', '0', '']
['560249', '', 'Av. Sen. Feij\xc3\xb3, 514-536', '', '-23.947336616025012', '-46.32690189120021', '', '', '0', '']
['653068', '', 'R. Almeida de Morais, 101-131', '', '-23.94892731171082', '-46.32588064592068', '', '', '0', '']
['637195', '', 'Av. Washington Lu\xc3\xads, 84', '', '-23.950402322502395', '-46.32600341120002', '', '', '0', '']
['591238', '', 'Av. Washington Lu\xc3\xads, 146', '', '-23.952370973768982', '-46.32619205953726', '', '', '0', '']
['613204', '', 'Av. Washington Lu\xc3\xads, 180', '', '-23.954205566330266', '-46.32637431313591', '', '', '0', '']
['639182', '', 'Av. Washington Lu\xc3\xads, 244', '', '-23.95618734823123', '-46.32656989730714', '', '', '0', '']
['560250', '', 'Av. Washington Lu\xc3\xads, 346', '', '-23.959520701414466', '-46.328200679176426', '', '', '0', '']
['615214', '', 'Avenida Doutor Washington Luiz, 394-398', '', '-23.961750558188232', '-46.32845429043621', '', '', '0', '']
['557217', '', 'Avenida Doutor Washington Luiz, 488', '', '-23.965836460041103', '-46.328928431881664', '', '', '0', '']
['591239', '', 'Avenida Vicente de Carvalho, 76-82', '', '-23.969872212352744', '-46.33169265484214', '', '', '0', '']
['613205', '', 'Avenida Presidente Wilson, 39', '', '-23.968700682628032', '-46.336272487584786', '', '', '0', '']
['558411', '', 'Avenida Presidente Wilson, 52-53', '', '-23.96837159584233', '-46.33802881020066', '', '', '0', '']
['557218', '', 'Avenida Presidente Wilson, 69-70', '', '-23.968110747381097', '-46.340216675271876', '', '', '0', '']
['614182', '', 'Av. Pres. Wilson, 100', '', '-23.967814447418373', '-46.34438144227323', '', '', '0', '']
['558412', '', 'Avenida Presidente Wilson, 143-145', '', '-23.96760455107966', '-46.34763230500769', '', '', '0', '']
['653069', '', 'Rua Cyra, 1', '', '-23.967746282608765', '-46.34907107304393', '', '', '0', '']
['637196', '', 'Jos\xc3\xa9 Menino, Enseada das Orqu\xc3\xaddeas', '', '-23.968354882566082', '-46.35359759892904', '', '', '0', '']
['616171', '', 'Avenida Presidente Wilson, 251-264', '', '-23.968546768902335', '-46.355533922082145', '', '', '0', '']
['615215', '', 'Avenida Manoel da N\xc3\xb3brega, 1609-1708', '', '-23.968220239128588', '-46.35761115724243', '', '', '0', '']
['637197', '', 'Av. Padre Manoel da N\xc3\xb3brega, 3251-3421', '', '-23.968446742304657', '-46.36002055313004', '', '', '0', '']
['552222', '', 'Av. Padre Manoel da N\xc3\xb3brega, 3252-3422', '', '-23.968674216014556', '-46.36110873172403', '', '', '0', '']
['558413', '', 'Av. Padre Manoel da N\xc3\xb3brega, 3104-3174', '', '-23.96901444407144', '-46.362573568578796', '', '', '0', '']
['639183', '', 'Av. Padre Manoel da N\xc3\xb3brega, 2710-2944', '', '-23.9695213884349', '-46.364491367515804', '', '', '0', '']
