Linha,prefixo,count,,,,,,,
904,8611,9644,,,,,,,
904,7277,9106,,,,,,,
901,7530,8558,,,,,,,
904,8642,8518,,,,,,,
928,7584,8510,,,,,,,
901,7414,8364,,,,,,,
903,9200,8162,,,,,,,
900,7403,8078,,,,,,,
900,7504,8063,,,,,,,
942,8404,8050,,,,,,,
901,7533,7827,,,,,,,
937,6202,7754,,,,,,,
943,7583,7732,,,,,,,
901,7531,7716,,,,,,,
901,7525,7673,,,,,,,
901,7532,7629,,,,,,,
934,8640,7619,,,,,,,
900,7506,7517,,,,,,,
901,7529,7446,,,,,,,
907,7281,7341,,,,,,,
904,7278,7266,,,,,,,
942,7545,7240,,,,,,,
903,9201,7202,,,,,,,
900,7500,7194,,,,,,,
900,7204,7093,,,,,,,
908,7210,7062,,,,,,,
908,7205,7046,,,,,,,
901,7538,6897,,,,,,,
950,6203,6858,,,,,,,
900,7209,6816,,,,,,,
908,7520,6770,,,,,,,
901,7526,6747,,,,,,,
903,9109,6710,,,,,,,
901,7235,6706,,,,,,,
933,7242,6632,,,,,,,
934,7303,6532,,,,,,,
903,9100,6510,,,,,,,
903,9104,6494,,,,,,,
900,7203,6493,,,,,,,
907,7282,6482,,,,,,,
900,7505,6479,,,,,,,
904,8643,6443,,,,,,,
901,7535,6418,,,,,,,
934EX1,7128,6414,,,,,,,
900,7501,6390,,,,,,,
942,7546,6344,,,,,,,
943,7120,6339,,,,,,,
908,7519,6195,,,,,,,
930EX1,6601,6110,,,,,,,
943,7147,6074,,,,,,,
900,7406,6072,,,,,,,
948,7585,6062,,,,,,,
902,7536,6044,,,,,,,
943,7119,6018,,,,,,,
902,7293,5964,,,,,,,
903,9102,5960,,,,,,,
940,8606,5952,,,,,,,
900,7502,5896,,,,,,,
939,8415,5891,,,,,,,
907,7289,5876,,,,,,,
931,7541,5775,,,,,,,
903,9106,5736,,,,,,,
902,7416,5697,,,,,,,
903,9103,5640,,,,,,,
903,9107,5602,,,,,,,
905,9510,5596,,,,,,,
908,7517,5596,,,,,,,
908,7523,5506,,,,,,,
931,8613,5504,,,,,,,
908,7411,5478,,,,,,,
934EX1,7131,5478,,,,,,,
903,9108,5470,,,,,,,
908,7408,5459,,,,,,,
902,7292,5377,,,,,,,
900,7407,5338,,,,,,,
902,7291,5318,,,,,,,
902,7294,5313,,,,,,,
934,7312,5280,,,,,,,
905,9508,5263,,,,,,,
908,7512,5253,,,,,,,
912,7130,5253,,,,,,,
901,7534,5238,,,,,,,
902,7295,5222,,,,,,,
947,7548,5159,,,,,,,
939,8435,5136,,,,,,,
942,8406,5136,,,,,,,
932,7100,5125,,,,,,,
901,7527,5085,,,,,,,
941,8623,5058,,,,,,,
903,9110,5038,,,,,,,
902,7412,5035,,,,,,,
939,7132,5031,,,,,,,
930EX1,6608,4872,,,,,,,
905,9506,4854,,,,,,,
912,7151,4837,,,,,,,
927,8439,4791,,,,,,,
947,7549,4763,,,,,,,
