"lat"; "lon"; "weight"
-23.99869;  -46.4145; 1
-24.1821;  -46.47878; 31
-23.99926;  -46.41526; 5
-23.95944;  -46.33818; 14
-23.96895;  -46.36094; 8
-23.99898;  -46.41509; 11
-24.1823;  -46.47872; 19
-23.9988;  -46.41445; 7
-23.94525;  -46.3292; 3
-23.94711;  -46.33637; 9
-23.99434;  -46.40643; 2
-23.95519;  -46.33132; 1
-23.94443;  -46.32705; 10
-23.99514;  -46.40734; 1
-23.96514;  -46.33254; 3
-23.97125;  -46.39166; 2
-23.9682;  -46.38741; 5
-23.9401;  -46.32486; 5
-23.96845;  -46.33294; 1
-23.96903;  -46.38559; 1
-23.96007;  -46.33826; 7
-23.96898;  -46.33579; 3
-23.96831;  -46.35738; 1
-23.96871;  -46.35657; 3
-23.97168;  -46.39234; 5
-23.96857;  -46.35436; 3
-23.9679;  -46.3849; 5
-23.9567;  -46.33786; 2
-23.93411;  -46.3353; 3
-24.1815;  -46.47871; 19
-23.96423;  -46.38565; 1
-23.95992;  -46.33824; 3
-23.94457;  -46.32533; 2
-23.96705;  -46.37842; 2
-23.96939;  -46.33408; 2
-23.96154;  -46.3385; 7
-23.97181;  -46.39582; 3
-23.99877;  -46.41461; 12
-23.97005;  -46.39167; 1
-23.97043;  -46.39154; 4
-23.96789;  -46.3461; 1
-23.96649;  -46.38668; 3
-23.96738;  -46.37806; 8
-23.97025;  -46.36773; 1
-23.99589;  -46.40894; 8
-23.97518;  -46.40166; 2
-23.96546;  -46.38136; 2
-23.97134;  -46.3707; 7
-23.96103;  -46.33842; 5
-23.97112;  -46.3711; 7
-23.96498;  -46.38237; 3
-24.1812;  -46.47869; 6
-24.16;  -46.46702; 2
-23.93421;  -46.3353; 1
-23.96981;  -46.39051; 4
-23.96601;  -46.38104; 5
-24.1813;  -46.47883; 8
-23.96812;  -46.33928; 3
-23.96815;  -46.33987; 5
-23.93324;  -46.33426; 2
-24.1823;  -46.47853; 5
-23.96393;  -46.38444; 2
-23.96374;  -46.38477; 1
-23.96919;  -46.33472; 4
-24.11;  -46.41946; 2
-23.99898;  -46.41487; 2
-24.1819;  -46.47848; 8
-23.97085;  -46.39152; 2
-23.99867;  -46.41443; 1
-23.9621;  -46.33214; 2
-23.96772;  -46.38487; 3
-23.95939;  -46.33807; 5
-23.97171;  -46.36898; 4
-23.96658;  -46.38676; 5
-24.1824;  -46.47874; 6
-24.1818;  -46.4787; 10
-23.9422;  -46.33475; 10
-24.1815;  -46.47878; 5
-24.1807;  -46.47871; 1
-23.99857;  -46.41447; 2
-23.96812;  -46.34178; 1
-23.95676;  -46.33784; 5
-23.95877;  -46.33797; 1
