"lat"; "lon"; "weight"
 -23.99869;  -46.4145; 10000
 -24.1821;  -46.47878; 310000
 -23.99926;  -46.41526; 50000
 -23.95944;  -46.33818; 140000
 -23.96895;  -46.36094; 80000
 -23.99898;  -46.41509; 110000
 -24.1823;  -46.47872; 190000
 -23.9988;  -46.41445; 70000
 -23.94525;  -46.3292; 30000
 -23.94711;  -46.33637; 90000
 -23.99434;  -46.40643; 20000
 -23.95519;  -46.33132; 10000
 -23.94443;  -46.32705; 100000
 -23.99514;  -46.40734; 10000
 -23.96514;  -46.33254; 30000
 -23.97125;  -46.39166; 20000
 -23.9682;  -46.38741; 50000
 -23.9401;  -46.32486; 50000
 -23.96845;  -46.33294; 10000
 -23.96903;  -46.38559; 10000
 -23.96007;  -46.33826; 70000
 -23.96898;  -46.33579; 30000
 -23.96831;  -46.35738; 10000
 -23.96871;  -46.35657; 30000
 -23.97168;  -46.39234; 50000
 -23.96857;  -46.35436; 30000
 -23.9679;  -46.3849; 50000
 -23.9567;  -46.33786; 20000
 -23.93411;  -46.3353; 30000
 -24.1815;  -46.47871; 190000
 -23.96423;  -46.38565; 10000
 -23.95992;  -46.33824; 30000
 -23.94457;  -46.32533; 20000
 -23.96705;  -46.37842; 20000
 -23.96939;  -46.33408; 20000
 -23.96154;  -46.3385; 70000
 -23.97181;  -46.39582; 30000
 -23.99877;  -46.41461; 120000
 -23.97005;  -46.39167; 10000
 -23.97043;  -46.39154; 40000
 -23.96789;  -46.3461; 10000
 -23.96649;  -46.38668; 30000
 -23.96738;  -46.37806; 80000
 -23.97025;  -46.36773; 10000
 -23.99589;  -46.40894; 80000
 -23.97518;  -46.40166; 20000
 -23.96546;  -46.38136; 20000
 -23.97134;  -46.3707; 70000
 -23.96103;  -46.33842; 50000
 -23.97112;  -46.3711; 70000
 -23.96498;  -46.38237; 30000
 -24.1812;  -46.47869; 60000
 -24.16;  -46.46702; 20000
 -23.93421;  -46.3353; 10000
 -23.96981;  -46.39051; 40000
 -23.96601;  -46.38104; 50000
 -24.1813;  -46.47883; 80000
 -23.96812;  -46.33928; 30000
 -23.96815;  -46.33987; 50000
 -23.93324;  -46.33426; 20000
 -24.1823;  -46.47853; 50000
 -23.96393;  -46.38444; 20000
 -23.96374;  -46.38477; 10000
 -23.96919;  -46.33472; 40000
 -24.11;  -46.41946; 20000
 -23.99898;  -46.41487; 20000
 -24.1819;  -46.47848; 80000
 -23.97085;  -46.39152; 20000
 -23.99867;  -46.41443; 10000
 -23.9621;  -46.33214; 20000
 -23.96772;  -46.38487; 30000
 -23.95939;  -46.33807; 50000
 -23.97171;  -46.36898; 40000
 -23.96658;  -46.38676; 50000
 -24.1824;  -46.47874; 60000
 -24.1818;  -46.4787; 100000
 -23.9422;  -46.33475; 100000
 -24.1815;  -46.47878; 50000
 -24.1807;  -46.47871; 10000
 -23.99857;  -46.41447; 20000
 -23.96812;  -46.34178; 10000
 -23.95676;  -46.33784; 50000
 -23.95877;  -46.33797; 10000
 -23.96992;  -46.36719; 50000
